size,cost
DN15_CS,142.76
DN15_SS,159.27
DN25_CS,193.97
DN25_SS,216.4
DN40_CS,257.16
DN40_SS,286.9
DN50_CS,294.0
DN50_SS,328.0
DN80_CS,389.78
DN80_SS,434.86
DN100_CS,445.62
DN100_SS,497.16
DN150_CS,568.36
DN150_SS,634.08
DN200_CS,675.43
DN200_SS,753.55
DN250_CS,772.2
DN250_SS,861.5
DN300_CS,861.47
DN300_SS,961.09
